ID,Extention,Highest Education
5818,417,"PhD (Civil Engineering), The University of Tokyo, Japan (2012)"
9451,339,"PhD (Hydraulics), Delft University of Technology, Norway (2013)"
5705,228,"Post-Doctorate (High Early Strength Self-Compacting Grout Systems), Technical University, Freiberg, Germany (2009)"
6941,414,"PhD (Civil Engineering), Universiti Teknologi, Malaysia (2024)"
6047,450,"PhD (Civil Engineering), University of Tokyo, Japan (2019)"
9513,433,"MS (Structural Engineering), NUST, Islamabad (2014)"
4592,452,"MS (Environmental Management), University of Sheffield, United Kingdom (2012)"
5360,218,"MS (Steel Construction), University of Sheffield, UK (2010)"
6041,426,"MS (Civil Engineering), NUCES, Lahore (2023)"
4300,448,"MPhil (Engg. Geology), PU, Lahore (2015)"
6839,446,"MS (Civil Engineering), NUCES, Lahore (2018)"
5553,330,"MS (Civil Engineering), NUCES, Lahore (2020)"
6573,236,"MS (Civil Engineering), NUCES, Lahore (2023)"
6817,459,"MS (Civil Engineering), NUCES, Lahore (2019)"
7026,433,"M.Sc. (Hydraulics and Irrigation), UET, Lahore (2023)"
6818,None,"BS (Civil Engineering), NUCES, Lahore (2023)"
6816,None,"BS (Civil Engineering), NUCES, Lahore (2022)"
6569,None,"BS (Civil Engineering), NUCES, Lahore (2021)"
6934,447,"BS (Civil Engineering), UMT, Lahore (2023)"
6769,None,"BS (Civil Engineering), NUST, Islamabad (2023)"
6571,None,"BS (Civil Engineering), NUCES, Lahore (2022)"
6933,422,"BS (Civil Engineering), NUCES, Lahore, (2022)"
