ID,Extention,Highest Education
4198,265,"PhD (Electrical Engineering), UET, Lahore (2011)"
4108,315,"PhD (Electrical Engineering), Graz University of Technology , Austria (2007)"
5421,254,"PhD (Electrical Engineering),Carleton University, Canada (1997)"
4609,364,"PhD (Electrical Engineering), UET, Lahore (2021)"
6942,235,"PhD (EE), LUMS, Lahore (2024)"
9452,244,"PhD (Mechanical Engineering), ARTS ET METIERS PARIS TECH (ENSAM), France (2010)"
4023,146,"MSc (Electrical Engineering), UET, Lahore (2006)"
4233,314,"MS (Telecom Engineering), NUCES, Lahore (2010)"
3669,421,"ME (Engineering), Hamdard University, Karachi (2009)"
3461,317,"MS (Electrical Engineering), NUCES, Lahore (2010)"
4484,269,"MS (Information Technology), University of Melbourne , Australia (2006)"
3778,309,"MS (Electrical Engineering), UET, Lahore (2008)"
7025,237,"MS (Electrical Engineering), NUCES, Lahore (2015)"
6289,None,"MS (Electrical Engineering), NUCES, Lahore (2021)"
3779,309,"MS (Electrical Engineering), UMT, Lahore (2014)"
5218,286,"MS (Electrical Engineering), NUCES, CFD (2017)"
4809,276,"MS (Electrical Engineering), NUCES, Lahore (2015)"
6843,None,"ME (Electronic System Design), Sukkur IBA University (2023)"
5231,287,"MSc (Power Electric Machines & Drives), University of Manchester, UK (2015)"
6557,287,"MS (EE), Northwestern Polytechnical University, China (2017)"
7005,None,"BS (Electrical Engineering), NUCES, Lahore (2024)"
6665,None,"BS (Electrical Engineering), NUCES, Lahore (2023)"
6830,None,"BS (Electrical Engineering), NUCES, Lahore (2023)"
7002,None,"BS (Electrical Engineering), NUCES, Lahore (2024)"
