ID,Extention,Highest Education
1238,569,"PhD (CS), NUCES, Islamabad (2010)"
4027,572,"PhD (CS), NUCES, Lahore (2019)"
4391,558,"Ph.D(Computing), University of Patras , Greece (2002)"
6113,634,"PhD (CS), NUCES, Lahore (2018)"
4329,612,"Ph.D (CS), NUCES, Lahore (2014)"
6968,558,"PhD (CS), University Teknologi, Malaysia, (2015)"
9113,311,"Ph.D (CS), University of Southern, California, United States (2010)"
6174,607,"PhD (CS),UPMC (Paris VI ), France, (2012)"
9540,635,"Ph.D (CS), Northeastern University, Boston, USA (2014)"
5181,595,"PhD (Electronics & Computer Engineering), Hongik University, South Korea (2016)"
4261,617,"PhD (CS), NUCES, Lahore (2013)"
6048,606,"PhD (Distributed Embedded Systems), University of Nice-Sophia Antipolis, France (2011)"
5116,586,"PhD (CS), LUMS, Lahore (2023)"
6811,644,"PhD (CS), University of Southern, California (2021)"
4236,621,"PhD (Engineering & IT), University of Technology Sydney (UTS), Australia (2023)"
6418,597,"PhD (CS), Monash University, Australia (2013)"
4335,212,"PhD (CS), University of Connecticut, USA (2016)"
6667,614,"PhD (PL), University of Frieburg, Germany (2011)"
4677,577,"PhD (CS) NUCES, Lahore (2022)"
6562,625,"PhD (CS), ITU, Lahore (2022)"
9539,237,"Ph.D(Computer and Control Engineering), Politecno di Torino, Italy (2014)"
6273,None,"PhD (CS), ITU, Lahore, 2021"
5114,591,"Ph.D (CS), LUMS, Lahore (2016)"
6302,247,"PhD (CS), LUMS, Lahore (2018)"
6255,553,"PhD (Natural Science), TU Dortmund University, Germany (2016)"
5466,562,"Ph.D (CS), LUMS, Lahore (2016)"
5424,227,"Ph.D. (Bioengineering), The University of Illinois at Chicago, USA (2012)"
3720,559,"MS (CS), NUCES, Lahore (2006)"
5054,593,"MS(CS), NUCES, Lahore (2015)"
4234,247,"M.S (TE), NUCES, Lahore (2012)"
4015,214,"MS(CS), UCP, Lahore (2013)"
4507,604,"MS (CS), NUCES, Lahore  (2010)"
4239,247,"M.S (EE), NU- Lahore, Pakistan (2013)"
5103,414,"MS (E& CE), Hanyang University, South Korea, Republic of (2011)"
5221,219,"M.S(CS), FAST-NUCES Lahore, Pakistan (2016)"
5115,581,"MS(CS), NUCES, Lahore (2014)"
4232,641,"MS (CS), NUCES, Lahore (2007)"
5230,618,"MS (CS), NUCES, Lahore (2015)"
6172,552,"MS (Software Engineering), NUST, Islamabad (2020)"
6311,626,"M PHIL (CS), PUCIT, Lahore (2020)"
6379,None,"MS (AI), NUCES, Islamabad (2023)"
6924,551,"MS (DS), ITU, Lahore (2023)"
6305,633,"MS (CS), NUCES, Lahore (2020)"
6723,360,"MS (Data Science), NUCES, Lahore (2023)"
6553,642,"MS (CS), UCP, Lahore (2021)"
6788,556,"MSc ( Electrical and Computer Engineering),  University of California Irvine, USA (2023)"
6274,598,"MS (CS),NUCES, Lahore (2022)"
6308,582,"MPhil (CS), PUCIT, Lahore (2019)"
6307,620,"MS (CS), NUCES, Lahore (2016)"
6551,560,"MS (SE), UET, Taxila (2015)"
6419,580,"MS (CS), UCP, Lahore (2022)"
6820,594,"MS (Software Project Management), NUCES, Lahore (2008)"
6588,603,"MS (DS), NUCES, Karachi (2019)"
6277,615,"MS (CS), NUCES, Lahore (2020)"
6253,587,"MS (CS), NUCES, Lahore (2021)"
6549,602,"MS (CS), UET, Lahore (2019)"
6560,629,"MS (CS), NUCES, Lahore (2021)"
6295,590,"MS (SPM), NUCES, Lahore (2021)"
6415,638,"MS (CS), COMSATS, Lahore (2021)"
6114,554,NA
6554,557,"MPhil (CS), PUCIT, Lahore (2019)"
5967,592,"MS (CS), NUCES, Lahore (2020)"
6552,637,"MS (CS), LCWU, Lahore (2017)"
6268,575,"MS (CS), NUCES, Lahore (2021)"
6773,600,"MPhil (CS), PUCIT, Lahore (2023)"
5986,570,"MS (EE), NUCES, Lahore (2019)"
6171,589,"MS (CS), NUCES, Lahore (2021)"
6719,627,"BS (CS), PU, Lahore (2018)"
6925,None,"MS (CS), UCP, Lahore (2022)"
6309,304,"MS (CS), LUMS, Lahore (2020)"
6559,631,"MPhil (CS), PU, Lahore (2020)"
6722,630,"BS (CSE), Islamia University,  Bahawalpur (2015)"
6927,600,"MS (SE), UMT, Lahore (2018)"
6662,588,"MS (CS), NUCES, Peshawar (2021)"
6928,599,"BS (CS), NUCES Lahore (2023)"
6791,611,"BS (Computer Science), UMT, Lahore (2015)"
6838,630,"BS (Computer Science), NUCES, Chiniot- Faisalabad (2021)"
6422,906,"BS (CS), NUCES, Lahore (2018)"
6929,632,"BS (CS), NUCES Islamabad (2023)"
6767,611,"MSc (CS), COMSATS, Sahiwal (2019)"
6718,627,"BS (CS), NUCES, Lahore (2023)"
6568,525,"MS (CS), NUCES, Lahore (2021)"
6663,632,"BS (EE), NUCES, Lahore (2018)"
6943,None,"BS (CS), NUCES, Lahore 2023"
6772,None,"MS (CS), NUCES, Lahore (2007)"
6770,610,"MS (Computer Science), NUCES, Lahore (2022)"
6176,619,"MS (EE), University of Southern California, USA (2001)"
6771,610,"MS (CS), NUCES, Lahore (2023)"
6558,None,"MS (CS), UCP, Lahore (2020)"
