ID,Extention,Highest Education
3924,252,"PhD (HRM/Finance), University of Tsukuba, Japan (2007)"
4685,343,"PhD (General Management), University of Bologna, Italy (2015)"
6563,405,"PhD (Engineering Management), Massey University, Auckland, New Zealand (2023)"
5712,255,"PhD (Management Science), NUCES, Lahore (2018)"
4629,295,"PhD (Management Science), NUCES, Lahore , Pakistan (2021)"
6561,316,"PhD (Management Science), NUCES, Lahore (2022)"
5423,408,"PhD (Finance), Massey University, New Zealand (2014)"
5559,445,"PhD (Marketing), University of Malaya, Kuala Lumpur (2017)"
5427,250,PhD (MAS) University of Udine (2017)
6426,242,"Ph.D. in Accounting and Finance, Lincoln University, New Zealand (2020)"
9495,409,"PhD (Management Sciences), Asian Institute of Technology (AIT), Thailand (2015)"
4483,360,"CPA (Accounting & Finance), ACCA, UK (1988)"
4647,258,"MS (Accounting & Finance), NUCES, Lahore (2020)"
5517,325,"MBA (Finance), NUCES, Lahore (2016)"
5227,444,"MBA, NUCES, Lahore (2016)"
6930,354,"MS (Business Analytics),NUCES, Lahore (2024)"
5518,349,"MBIT, PU, Lahore (2014)"
6115,301,"MBA (AF), NUCES, Lahore (2022)"
6709,256,"MS (Business Analytics), NUCES, Lahore (2023)"
6565,306,"MBA, NUCES, Lahore (2023)"
6664,256,"MS (Business Analytics), NUCES, Lahore (2023)"
6812,354,"MBA (Finance), LUMS, Lahore (2012)"
6566,306,"MBA, NUCES, Lahore (2023)"
5713,None,"MBA, Western Michigan University, USA (2009)"
6813,324,"MSc (Accounting & Finance), BPP University, UK(2017)"
6303,324,"CA, ICAP, Lahore (2017)"
6931,353,"M.Phil (Applied Economics) FC College, Lahore (2018)"
7016,None,"MBA (General), NUCES, Lahore (2024)"
7017,None,"MBA (General), NUCES, Lahore (2024)"
6789,301,"BBA, NUCES, Lahore (2023)"
7015,None,"MBA (Marketing), NUCES, Lahore (2024)"
6964,451,"MA (Economics), PU, Lahore (2004)"
6790,431,"MBA (Marketing), NUCES, Lahore (2023)"
6815,431,"MS (Business Analytics), NUCES, Lahore (2023)"
6932,353,"ACMA (Accounts),  ICMAP (2003)"
